,lsoa11cd,Indicative number,population,new population
0,E01007421,681.6,1330,2012.0
1,E01007826,2.4,1526,1528.0
2,E01007827,2.4,1504,1506.0
3,E01007828,19.2,1710,1729.0
4,E01007829,607.1999999999999,1562,2169.0
5,E01007830,283.2,1547,1830.0
6,E01007831,67.2,1523,1590.0
7,E01007832,439.2,1543,1982.0
8,E01007834,376.8,1654,2031.0
9,E01007838,4.8,1507,1512.0
10,E01007842,43.199999999999996,1575,1618.0
11,E01007847,50.4,1297,1347.0
12,E01007848,33.6,1717,1751.0
13,E01007849,19.2,2113,2132.0
14,E01007850,103.2,1562,1665.0
15,E01007852,168.0,1482,1650.0
16,E01007854,168.0,1735,1903.0
17,E01007858,67.2,1443,1510.0
18,E01007859,278.4,1638,1916.0
19,E01007860,33.6,1553,1587.0
20,E01007861,7.199999999999999,1525,1532.0
21,E01007862,132.0,4183,4315.0
22,E01007864,24.0,1882,1906.0
23,E01007866,456.0,1727,2183.0
24,E01007867,398.4,2010,2408.0
25,E01007868,511.2,1179,1690.0
26,E01007869,48.0,1714,1762.0
27,E01007870,756.0,1843,2599.0
28,E01007871,24.0,1783,1807.0
29,E01007872,228.0,1753,1981.0
30,E01007873,9969.6,1760,11730.0
31,E01007875,511.2,1838,2349.0
32,E01007877,355.2,1446,1801.0
33,E01007878,271.2,1716,1987.0
34,E01007879,100.8,1646,1747.0
35,E01007881,345.59999999999997,1609,1955.0
36,E01007882,4.8,1637,1642.0
37,E01007883,1864.8,1322,3187.0
38,E01007885,1780.8,1557,3338.0
39,E01007886,28.799999999999997,1623,1652.0
40,E01007889,1672.8,2677,4350.0
41,E01007890,36.0,1442,1478.0
42,E01007894,208.79999999999998,1458,1667.0
43,E01007895,482.4,1456,1938.0
44,E01007899,21.599999999999998,1463,1485.0
45,E01007900,12.0,1694,1706.0
46,E01007902,24.0,1752,1776.0
47,E01007903,278.4,1588,1866.0
48,E01007904,309.59999999999997,1701,2011.0
49,E01007905,259.2,1770,2029.0
50,E01007906,9.6,2081,2091.0
51,E01007907,556.8,1656,2213.0
52,E01007908,100.8,1492,1593.0
53,E01007909,1065.6,2047,3113.0
54,E01007911,1288.8,1397,2686.0
55,E01007913,28.799999999999997,1481,1510.0
56,E01007914,2.4,1559,1561.0
57,E01007916,2.4,1529,1531.0
58,E01007920,4.8,1638,1643.0
59,E01007921,2.4,1571,1573.0
60,E01007925,105.6,1630,1736.0
61,E01007926,1224.0,1714,2938.0
62,E01007927,252.0,1672,1924.0
63,E01007928,321.59999999999997,1751,2073.0
64,E01007929,172.79999999999998,1628,1801.0
65,E01007930,7.199999999999999,1476,1483.0
66,E01007932,7.199999999999999,1415,1422.0
67,E01007933,381.59999999999997,1663,2045.0
68,E01007936,16.8,1590,1607.0
69,E01007937,2.4,1395,1397.0
70,E01007939,12.0,1534,1546.0
71,E01007944,2.4,2058,2060.0
72,E01007954,2.4,1650,1652.0
73,E01007956,19.2,2197,2216.0
74,E01007958,146.4,1465,1611.0
75,E01007959,7.199999999999999,1491,1498.0
76,E01007961,3883.2,1508,5391.0
77,E01007963,33.6,1443,1477.0
78,E01007964,1946.3999999999999,1529,3475.0
79,E01007965,14.399999999999999,1906,1920.0
80,E01007968,50.4,1467,1517.0
81,E01007970,9.6,1577,1587.0
82,E01007971,28.799999999999997,1434,1463.0
83,E01007974,48.0,1468,1516.0
