,O_lsoa,D_lsoa
0,E01033274,E01008131
1,E01033274,E01007991
2,E01033274,E01008148
3,E01033274,E01008137
4,E01033274,E01008080
5,E01033274,E01007894
6,E01033274,E01007900
7,E01033274,E01007942
8,E01008091,E01007942
9,E01007699,E01007942
10,E01033274,E01008091
11,E01007913,E01008091
12,E01007942,E01008091
13,E01007699,E01008091
14,E01033274,E01007913
15,E01008091,E01007913
16,E01007699,E01007913
17,E01007714,E01007913
18,E01033274,E01033270
19,E01033264,E01033270
20,E01033274,E01033264
21,E01033270,E01033264
22,E01033274,E01007935
23,E01033274,E01007929
24,E01008131,E01033274
25,E01007991,E01033274
26,E01008148,E01033274
27,E01008137,E01033274
28,E01008080,E01033274
29,E01007894,E01033274
30,E01007900,E01033274
31,E01008124,E01033274
32,E01008091,E01033274
33,E01007913,E01033274
34,E01007911,E01033274
35,E01033270,E01033274
36,E01033264,E01033274
37,E01007935,E01033274
38,E01007929,E01033274
39,E01008091,E01007699
40,E01007913,E01007699
41,E01007942,E01007699
42,E01007913,E01007714
43,E01033268,E01007714
44,E01007911,E01007965
45,E01033268,E01007965
46,E01008032,E01007965
47,E01007666,E01007965
48,E01007911,E01008032
49,E01033268,E01008032
50,E01007965,E01008032
51,E01007911,E01007666
52,E01033268,E01007666
53,E01007965,E01007666
54,E01007668,E01007666
55,E01033268,E01007911
56,E01007965,E01007911
57,E01008032,E01007911
58,E01007666,E01007911
59,E01033268,E01007668
60,E01007666,E01007668
61,E01033268,E01007602
62,E01033268,E01007645
63,E01033268,E01007391
64,E01007340,E01007391
65,E01033268,E01007340
66,E01007391,E01007340
67,E01007379,E01007340
68,E01007429,E01007340
69,E01007965,E01033268
70,E01008032,E01033268
71,E01007668,E01033268
72,E01007666,E01033268
73,E01007602,E01033268
74,E01007645,E01033268
75,E01007714,E01033268
76,E01007391,E01033268
77,E01007340,E01033268
78,E01007645,E01007476
79,E01007340,E01007379
80,E01007340,E01007429
