"lsoa11cd","CAUTH18NM","date","lsoa11nm","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"E01007317","Sheffield City Region",2011,"Barnsley 018A","Total",1493,747,746,1493,0,5,62.36,23.9
"E01007318","Sheffield City Region",2011,"Barnsley 018B","Total",1544,781,763,1507,37,9,29.72,52
"E01007319","Sheffield City Region",2011,"Barnsley 015A","Total",1465,718,747,1465,0,8,124.53,11.8
"E01007320","Sheffield City Region",2011,"Barnsley 018C","Total",1596,798,798,1596,0,7,36.92,43.2
"E01007321","Sheffield City Region",2011,"Barnsley 015B","Total",1433,690,743,1433,0,10,176.11,8.1
"E01007322","Sheffield City Region",2011,"Barnsley 015C","Total",2082,1039,1043,2004,78,11,154.12,13.5
"E01007323","Sheffield City Region",2011,"Barnsley 007A","Total",1483,748,735,1483,0,4,29.22,50.8
"E01007324","Sheffield City Region",2011,"Barnsley 007B","Total",1667,819,848,1667,0,5,40.34,41.3
"E01007325","Sheffield City Region",2011,"Barnsley 007C","Total",1714,829,885,1689,25,7,42.72,40.1
"E01007326","Sheffield City Region",2011,"Barnsley 007D","Total",1526,736,790,1525,1,3,37.71,40.5
"E01007327","Sheffield City Region",2011,"Barnsley 007E","Total",1676,809,867,1676,0,13,91.31,18.4
"E01007328","Sheffield City Region",2011,"Barnsley 006A","Total",1922,940,982,1899,23,6,464.45,4.1
"E01007329","Sheffield City Region",2011,"Barnsley 003A","Total",1594,788,806,1565,29,13,195.75,8.1
"E01007330","Sheffield City Region",2011,"Barnsley 006B","Total",1708,826,882,1708,0,13,229.15,7.5
"E01007331","Sheffield City Region",2011,"Barnsley 003B","Total",1853,926,927,1853,0,11,193.34,9.6
"E01007332","Sheffield City Region",2011,"Barnsley 006C","Total",2306,1132,1174,2203,103,14,275.55,8.4
"E01007333","Sheffield City Region",2011,"Barnsley 006D","Total",1331,659,672,1331,0,7,74.17,17.9
"E01007334","Sheffield City Region",2011,"Barnsley 009A","Total",1356,683,673,1356,0,11,53.97,25.1
"E01007335","Sheffield City Region",2011,"Barnsley 009B","Total",1506,739,767,1454,52,10,60.26,25
"E01007336","Sheffield City Region",2011,"Barnsley 013A","Total",1557,801,756,1543,14,7,59.52,26.2
"E01007337","Sheffield City Region",2011,"Barnsley 015D","Total",1775,928,847,1775,0,7,80.3,22.1
"E01007338","Sheffield City Region",2011,"Barnsley 017A","Total",1533,756,777,1533,0,1,27.15,56.5
"E01007339","Sheffield City Region",2011,"Barnsley 017B","Total",1490,763,727,1479,11,9,25.43,58.6
"E01007340","Sheffield City Region",2011,"Barnsley 013B","Total",1636,826,810,1636,0,9,47.49,34.4
"E01007341","Sheffield City Region",2011,"Barnsley 008A","Total",1264,627,637,1264,0,8,94.92,13.3
"E01007342","Sheffield City Region",2011,"Barnsley 003C","Total",1398,686,712,1398,0,13,140.98,9.9
"E01007343","Sheffield City Region",2011,"Barnsley 003D","Total",1346,656,690,1346,0,8,101.48,13.3
"E01007344","Sheffield City Region",2011,"Barnsley 011A","Total",2135,1069,1066,2128,7,15,127.74,16.7
"E01007345","Sheffield City Region",2011,"Barnsley 008B","Total",1620,800,820,1567,53,11,47.93,33.8
"E01007346","Sheffield City Region",2011,"Barnsley 008C","Total",1620,788,832,1620,0,12,64.12,25.3
"E01007347","Sheffield City Region",2011,"Barnsley 008D","Total",1594,791,803,1594,0,10,254.85,6.3
"E01007348","Sheffield City Region",2011,"Barnsley 020A","Total",1444,696,748,1399,45,9,75.65,19.1
"E01007349","Sheffield City Region",2011,"Barnsley 020B","Total",1533,728,805,1529,4,9,518.08,3
"E01007350","Sheffield City Region",2011,"Barnsley 020C","Total",1185,600,585,1183,2,7,494.11,2.4
"E01007351","Sheffield City Region",2011,"Barnsley 020D","Total",1426,699,727,1426,0,23,361.32,3.9
"E01007352","Sheffield City Region",2011,"Barnsley 020E","Total",1412,683,729,1412,0,8,26.78,52.7
"E01007353","Sheffield City Region",2011,"Barnsley 020F","Total",1605,771,834,1583,22,14,52.52,30.6
"E01007354","Sheffield City Region",2011,"Barnsley 020G","Total",1681,817,864,1645,36,8,543.13,3.1
"E01007355","Sheffield City Region",2011,"Barnsley 005A","Total",1537,773,764,1537,0,8,64.33,23.9
"E01007356","Sheffield City Region",2011,"Barnsley 004A","Total",1381,669,712,1381,0,17,154.37,8.9
"E01007357","Sheffield City Region",2011,"Barnsley 004B","Total",1397,667,730,1347,50,6,27.38,51
"E01007358","Sheffield City Region",2011,"Barnsley 005B","Total",1497,717,780,1497,0,19,115.51,13
"E01007359","Sheffield City Region",2011,"Barnsley 005C","Total",1509,739,770,1509,0,15,516.22,2.9
"E01007360","Sheffield City Region",2011,"Barnsley 005D","Total",1546,733,813,1522,24,19,138.62,11.2
"E01007361","Sheffield City Region",2011,"Barnsley 004C","Total",1656,799,857,1585,71,12,126.03,13.1
"E01007362","Sheffield City Region",2011,"Barnsley 004D","Total",1633,816,817,1633,0,13,150.61,10.8
"E01007363","Sheffield City Region",2011,"Barnsley 004E","Total",1575,755,820,1575,0,11,72.29,21.8
"E01007364","Sheffield City Region",2011,"Barnsley 025A","Total",1390,662,728,1390,0,5,104.93,13.2
"E01007365","Sheffield City Region",2011,"Barnsley 025B","Total",1212,564,648,1203,9,2,56,21.6
"E01007366","Sheffield City Region",2011,"Barnsley 025C","Total",2005,991,1014,2005,0,9,133.91,15
"E01007367","Sheffield City Region",2011,"Barnsley 025D","Total",1178,590,588,1178,0,5,161.99,7.3
"E01007368","Sheffield City Region",2011,"Barnsley 025E","Total",1675,814,861,1626,49,7,39.51,42.4
"E01007369","Sheffield City Region",2011,"Barnsley 022A","Total",1490,762,728,1490,0,9,51.97,28.7
"E01007370","Sheffield City Region",2011,"Barnsley 022B","Total",1389,683,706,1389,0,10,249.75,5.6
"E01007371","Sheffield City Region",2011,"Barnsley 022C","Total",1954,957,997,1954,0,18,102.1,19.1
"E01007372","Sheffield City Region",2011,"Barnsley 014A","Total",1287,608,679,1281,6,5,58.34,22.1
"E01007373","Sheffield City Region",2011,"Barnsley 014B","Total",1594,809,785,1594,0,8,69.08,23.1
"E01007374","Sheffield City Region",2011,"Barnsley 014C","Total",1470,704,766,1470,0,4,184.44,8
"E01007375","Sheffield City Region",2011,"Barnsley 014D","Total",1659,792,867,1605,54,5,68.39,24.3
"E01007376","Sheffield City Region",2011,"Barnsley 022D","Total",1407,691,716,1403,4,3,154.86,9.1
"E01007377","Sheffield City Region",2011,"Barnsley 014E","Total",1105,561,544,1105,0,6,34.08,32.4
"E01007378","Sheffield City Region",2011,"Barnsley 014F","Total",1572,771,801,1556,16,5,89.14,17.6
"E01007379","Sheffield City Region",2011,"Barnsley 012A","Total",1591,764,827,1591,0,10,321.19,5
"E01007380","Sheffield City Region",2011,"Barnsley 012B","Total",1810,910,900,1810,0,26,117.25,15.4
"E01007381","Sheffield City Region",2011,"Barnsley 012C","Total",1547,759,788,1547,0,24,152.85,10.1
"E01007382","Sheffield City Region",2011,"Barnsley 019A","Total",1483,714,769,1483,0,11,143.04,10.4
"E01007383","Sheffield City Region",2011,"Barnsley 019B","Total",1370,698,672,1370,0,22,48.16,28.4
"E01007384","Sheffield City Region",2011,"Barnsley 019C","Total",1614,798,816,1614,0,15,312.18,5.2
"E01007385","Sheffield City Region",2011,"Barnsley 019D","Total",1433,688,745,1369,64,8,72.11,19.9
"E01007386","Sheffield City Region",2011,"Barnsley 005E","Total",1714,830,884,1701,13,22,144.82,11.8
"E01007387","Sheffield City Region",2011,"Barnsley 012D","Total",1452,716,736,1452,0,8,77.71,18.7
"E01007388","Sheffield City Region",2011,"Barnsley 029A","Total",1615,815,800,1615,0,15,172.03,9.4
"E01007389","Sheffield City Region",2011,"Barnsley 030A","Total",1396,701,695,1396,0,7,57.28,24.4
"E01007390","Sheffield City Region",2011,"Barnsley 030B","Total",1527,744,783,1527,0,8,107.13,14.3
"E01007391","Sheffield City Region",2011,"Barnsley 030C","Total",1468,723,745,1468,0,6,33.75,43.5
"E01007392","Sheffield City Region",2011,"Barnsley 030D","Total",1538,763,775,1498,40,9,33.57,45.8
"E01007393","Sheffield City Region",2011,"Barnsley 029B","Total",1837,882,955,1811,26,9,32.21,57
"E01007394","Sheffield City Region",2011,"Barnsley 029C","Total",1384,687,697,1384,0,4,23.93,57.8
"E01007395","Sheffield City Region",2011,"Barnsley 030E","Total",2016,956,1060,2016,0,15,142.83,14.1
"E01007396","Sheffield City Region",2011,"Barnsley 028A","Total",1580,754,826,1580,0,11,29.72,53.2
"E01007397","Sheffield City Region",2011,"Barnsley 028B","Total",1456,681,775,1422,34,10,132.22,11
"E01007398","Sheffield City Region",2011,"Barnsley 028C","Total",1632,784,848,1619,13,9,344.38,4.7
"E01007399","Sheffield City Region",2011,"Barnsley 028D","Total",2057,993,1064,2057,0,13,232.74,8.8
"E01007400","Sheffield City Region",2011,"Barnsley 009C","Total",2017,1018,999,2017,0,13,84.6,23.8
"E01007402","Sheffield City Region",2011,"Barnsley 011B","Total",1660,782,878,1660,0,7,199.9,8.3
"E01007403","Sheffield City Region",2011,"Barnsley 011C","Total",1536,754,782,1495,41,4,71.2,21.6
"E01007404","Sheffield City Region",2011,"Barnsley 009D","Total",1287,642,645,1287,0,9,45.48,28.3
"E01007405","Sheffield City Region",2011,"Barnsley 011D","Total",1418,653,765,1334,84,9,62.74,22.6
"E01007406","Sheffield City Region",2011,"Barnsley 009E","Total",1720,840,880,1720,0,2,125.72,13.7
"E01007408","Sheffield City Region",2011,"Barnsley 010C","Total",1516,719,797,1485,31,13,27.05,56
"E01007409","Sheffield City Region",2011,"Barnsley 010D","Total",1458,734,724,1428,30,21,35.74,40.8
"E01007410","Sheffield City Region",2011,"Barnsley 010E","Total",1631,792,839,1631,0,12,47.93,34
"E01007411","Sheffield City Region",2011,"Barnsley 007F","Total",1191,605,586,1191,0,3,51.91,22.9
"E01007413","Sheffield City Region",2011,"Barnsley 017C","Total",1349,650,699,1349,0,5,43.35,31.1
"E01007414","Sheffield City Region",2011,"Barnsley 017D","Total",1638,788,850,1572,66,22,42.38,38.7
"E01007415","Sheffield City Region",2011,"Barnsley 013C","Total",1495,732,763,1478,17,11,117.22,12.8
"E01007416","Sheffield City Region",2011,"Barnsley 018D","Total",1194,577,617,1194,0,9,36.54,32.7
"E01007417","Sheffield City Region",2011,"Barnsley 013D","Total",1591,789,802,1552,39,10,20.67,77
"E01007418","Sheffield City Region",2011,"Barnsley 016A","Total",1279,618,661,1279,0,19,1843.89,0.7
"E01007419","Sheffield City Region",2011,"Barnsley 016B","Total",1721,828,893,1721,0,24,325.02,5.3
"E01007420","Sheffield City Region",2011,"Barnsley 016C","Total",1432,703,729,1432,0,29,305.67,4.7
"E01007421","Sheffield City Region",2011,"Barnsley 027A","Total",1330,669,661,1320,10,20,2814.72,0.5
"E01007422","Sheffield City Region",2011,"Barnsley 027B","Total",1571,808,763,1571,0,31,1201.33,1.3
"E01007423","Sheffield City Region",2011,"Barnsley 027C","Total",1655,809,846,1655,0,25,851.83,1.9
"E01007424","Sheffield City Region",2011,"Barnsley 028E","Total",1671,817,854,1671,0,13,828.08,2
"E01007425","Sheffield City Region",2011,"Barnsley 016D","Total",1470,737,733,1470,0,31,1086.56,1.4
"E01007426","Sheffield City Region",2011,"Barnsley 027D","Total",1558,785,773,1547,11,17,6511.97,0.2
"E01007427","Sheffield City Region",2011,"Barnsley 024A","Total",1554,787,767,1554,0,22,84.49,18.4
"E01007428","Sheffield City Region",2011,"Barnsley 024B","Total",1445,715,730,1444,1,18,624.1,2.3
"E01007429","Sheffield City Region",2011,"Barnsley 024C","Total",1422,674,748,1422,0,7,32.03,44.4
"E01007430","Sheffield City Region",2011,"Barnsley 024D","Total",2277,1130,1147,2273,4,28,80.47,28.3
"E01007431","Sheffield City Region",2011,"Barnsley 024E","Total",1363,677,686,1363,0,21,125.26,10.9
"E01007432","Sheffield City Region",2011,"Barnsley 024F","Total",1431,709,722,1431,0,25,59.75,23.9
"E01007433","Sheffield City Region",2011,"Barnsley 002A","Total",1615,775,840,1615,0,7,238.31,6.8
"E01007434","Sheffield City Region",2011,"Barnsley 001A","Total",1933,963,970,1924,9,11,60.93,31.7
"E01007435","Sheffield City Region",2011,"Barnsley 001B","Total",1579,771,808,1579,0,16,42.08,37.5
"E01007436","Sheffield City Region",2011,"Barnsley 002B","Total",1267,620,647,1267,0,9,84.3,15
"E01007437","Sheffield City Region",2011,"Barnsley 002C","Total",1476,755,721,1476,0,11,109.3,13.5
"E01007438","Sheffield City Region",2011,"Barnsley 001C","Total",1557,722,835,1497,60,18,93.17,16.7
"E01007439","Sheffield City Region",2011,"Barnsley 001D","Total",1210,607,603,1210,0,14,250.55,4.8
"E01007440","Sheffield City Region",2011,"Barnsley 002D","Total",1520,753,767,1520,0,13,40.68,37.4
"E01007441","Sheffield City Region",2011,"Barnsley 013E","Total",1537,773,764,1537,0,11,23.22,66.2
"E01007442","Sheffield City Region",2011,"Barnsley 012E","Total",1377,670,707,1377,0,14,127.41,10.8
"E01007443","Sheffield City Region",2011,"Barnsley 013F","Total",2000,1086,914,2000,0,21,22.99,87
"E01007444","Sheffield City Region",2011,"Barnsley 012F","Total",1550,759,791,1516,34,15,66.52,23.3
"E01007445","Sheffield City Region",2011,"Barnsley 013G","Total",1451,715,736,1451,0,6,50.91,28.5
"E01007446","Sheffield City Region",2011,"Barnsley 012G","Total",1335,650,685,1308,27,10,41.22,32.4
"E01007447","Sheffield City Region",2011,"Barnsley 023A","Total",1544,750,794,1538,6,5,33.31,46.4
"E01007448","Sheffield City Region",2011,"Barnsley 023B","Total",1594,828,766,1593,1,6,98.93,16.1
"E01007449","Sheffield City Region",2011,"Barnsley 023C","Total",1770,887,883,1770,0,3,141.77,12.5
"E01007450","Sheffield City Region",2011,"Barnsley 023D","Total",1516,763,753,1497,19,6,117.62,12.9
"E01007451","Sheffield City Region",2011,"Barnsley 026A","Total",1712,845,867,1683,29,11,102.26,16.7
"E01007452","Sheffield City Region",2011,"Barnsley 026B","Total",1555,777,778,1555,0,13,92.94,16.7
"E01007453","Sheffield City Region",2011,"Barnsley 026C","Total",1558,721,837,1558,0,9,29.06,53.6
"E01007455","Sheffield City Region",2011,"Barnsley 026E","Total",1358,666,692,1358,0,11,61.04,22.2
"E01007456","Sheffield City Region",2011,"Barnsley 029D","Total",1756,854,902,1756,0,10,130.2,13.5
"E01007457","Sheffield City Region",2011,"Barnsley 029E","Total",1648,793,855,1648,0,10,381.91,4.3
"E01007458","Sheffield City Region",2011,"Barnsley 021A","Total",1455,727,728,1432,23,13,207.69,7
"E01007459","Sheffield City Region",2011,"Barnsley 021B","Total",1509,726,783,1509,0,3,364.68,4.1
"E01007460","Sheffield City Region",2011,"Barnsley 021C","Total",1437,720,717,1427,10,16,61.08,23.5
"E01007461","Sheffield City Region",2011,"Barnsley 021D","Total",1647,844,803,1641,6,9,44.42,37.1
"E01007462","Sheffield City Region",2011,"Barnsley 021E","Total",1602,741,861,1602,0,9,153.83,10.4
"E01007463","Sheffield City Region",2011,"Barnsley 021F","Total",1766,843,923,1747,19,4,33.29,53
"E01007464","Sheffield City Region",2011,"Doncaster 009A","Total",1497,728,769,1497,0,9,58.63,25.5
