geo_code,naptan_sto,easting,northing,district,line
E01007629,370040551,464616,411150,Doncaster District,87
E01007629,370040552,464511,411050,Doncaster District,87
E01007629,370040554,464647,411541,Doncaster District,84b
E01007629,370041219,464635,411181,Doncaster District,87
E01007629,370045277,464464,411020,Doncaster District,87
E01007629,370045512,464279,411369,Doncaster District,84
E01007802,370022335,437448,396089,Rotherham District,635
E01007802,370030252,437582,395977,Rotherham District,635
E01007802,370030254,437522,396305,Rotherham District,635
E01007802,370030255,437529,396315,Rotherham District,635
E01007802,370035298,437563,396015,Rotherham District,635
E01007437,370050716,436509,410114,Barnsley District,37ss
E01007437,370050756,436291,409776,Barnsley District,37ss
E01007437,370050757,436785,409699,Barnsley District,57
E01007437,370050758,436809,409628,Barnsley District,57
E01007437,370050866,435851,409451,Barnsley District,488
E01007437,370055198,436539,410129,Barnsley District,37ss
E01007437,370055199,436159,409585,Barnsley District,37ss
E01007437,370055274,436362,409823,Barnsley District,37ss
E01007437,370055279,436798,409814,Barnsley District,57
E01007806,370030245,440536,394444,Rotherham District,139
E01007806,370030849,440615,394383,Rotherham District,139
E01007806,370035415,440645,394379,Rotherham District,140
E01007806,370035743,440462,394137,Rotherham District,138
E01007394,370050582,438400,400600,Barnsley District,66
E01007394,370050584,438442,400537,Barnsley District,136
E01007394,370050585,438466,400524,Barnsley District,136
E01007394,370050587,438621,400438,Barnsley District,136
E01007394,370055146,438736,400412,Barnsley District,136
E01007394,370055367,438265,400219,Barnsley District,662
E01007470,370040640,453558,410154,Doncaster District,499
E01007470,370040641,453663,410412,Doncaster District,450
E01007470,370040642,453773,410628,Doncaster District,working
E01007470,370040643,453536,410763,Doncaster District,working
E01007470,370040644,453268,410591,Doncaster District,working
E01007470,370041149,453792,410794,Doncaster District,working
E01007470,370041223,453928,410714,Doncaster District,50b
E01007470,370041281,453829,410713,Doncaster District,450
E01007470,370041282,453571,410241,Doncaster District,450
E01007470,370046406,453584,410282,Doncaster District,working
E01007809,370031230,449364,388444,Rotherham District,637
E01007809,370031231,449088,388614,Rotherham District,637
E01007809,370031233,449125,388796,Rotherham District,637
E01007809,370035185,449497,388495,Rotherham District,19
E01007448,370050007,439934,403083,Barnsley District,649
E01007448,370050009,439816,403210,Barnsley District,649
E01007448,370050010,439705,403280,Barnsley District,482a
E01007448,370050011,439471,403441,Barnsley District,649
E01007448,370050012,439314,403572,Barnsley District,482a
E01007448,370050013,439195,403807,Barnsley District,482a
E01007448,370050660,439218,403773,Barnsley District,X20
E01007448,370055303,439350,403558,Barnsley District,649
E01007448,370055347,439514,403403,Barnsley District,482a
E01007448,370055965,439383,403228,Barnsley District,nan
E01008037,370021497,442689,382976,Sheffield District,8
E01008037,370021498,442829,382937,Sheffield District,8
E01008037,370021499,442983,382938,Sheffield District,120
E01008037,370021500,442927,382496,Sheffield District,120
E01008037,370021501,442928,382473,Sheffield District,120
E01008037,370021631,443129,382686,Sheffield District,120
E01008037,370021640,443132,382370,Sheffield District,120
E01008037,370021647,443142,382727,Sheffield District,120
E01008037,370021725,442824,383127,Sheffield District,752
E01008037,370026727,442480,382972,Sheffield District,8
E01008005,370022602,438343,384207,Sheffield District,18
E01008005,370022618,438802,383962,Sheffield District,8
E01008005,370022674,438909,383746,Sheffield District,8
E01008005,370022686,438403,383767,Sheffield District,PS1
E01008005,370022689,438378,384084,Sheffield District,18
E01008005,370022690,438397,383892,Sheffield District,PS1
E01008005,370022691,438360,383886,Sheffield District,PS1
E01008005,370022693,438160,383927,Sheffield District,PS1
E01008053,370022119,435650,393393,Sheffield District,8
E01008053,370023363,435333,393100,Sheffield District,8
E01008053,370023364,435463,393179,Sheffield District,8
E01008053,370023366,435501,393234,Sheffield District,8
E01008053,370023368,435697,393409,Sheffield District,83
E01008053,370023370,435725,393226,Sheffield District,83
E01008053,370023371,435708,393210,Sheffield District,83
E01008053,370023404,435670,392953,Sheffield District,83
E01007376,370050234,445635,404280,Barnsley District,668
E01007376,370050236,445419,404338,Barnsley District,665
E01007376,370050240,445218,404209,Barnsley District,664
E01007376,370050990,446356,404418,Barnsley District,X19
E01007376,370055169,445502,404260,Barnsley District,668
E01007376,370055793,446075,405287,Barnsley District,219
E01007376,370055824,445877,404870,Barnsley District,219
E01007376,370055825,445896,404829,Barnsley District,219
E01007376,370055844,445944,404386,Barnsley District,203
E01007376,370055845,445965,404419,Barnsley District,203
E01007376,370056114,445081,404207,Barnsley District,208
E01007530,370045173,457065,402189,Doncaster District,working
E01007530,370045175,457723,402602,Doncaster District,working
E01007530,370045176,457957,402458,Doncaster District,58c
E01007530,370045439,457117,402202,Doncaster District,working
E01007530,370045631,458134,402515,Doncaster District,58c
E01007530,370046096,457677,402169,Doncaster District,nan
E01007530,370046393,458169,402039,Doncaster District,56
E01007530,370046394,458169,402021,Doncaster District,working
E01007530,370046643,458035,401928,Doncaster District,56
E01007707,370030036,441896,389129,Rotherham District,74a
E01007707,370030037,441565,389223,Rotherham District,74a
E01007707,370030038,441527,389260,Sheffield District,nan
E01007707,370030039,441495,389514,Rotherham District,674
E01007707,370030164,442095,389059,Rotherham District,74a
E01007707,370035111,442350,389653,Rotherham District,73
E01007707,370036061,441497,389182,Rotherham District,74a
E01008047,370020587,433302,385784,Sheffield District,81
E01008047,370020601,433792,385572,Sheffield District,218
E01007933,370021330,431555,382923,Sheffield District,271
E01007933,370021331,431602,382959,Sheffield District,271
E01007933,370021332,431307,382727,Sheffield District,271
E01007933,370021333,431291,382729,Sheffield District,271
E01007933,370021334,431180,382680,Sheffield District,271
E01007933,370021336,431781,383116,Sheffield District,271
E01007933,370021337,431823,383151,Sheffield District,271
E01007933,370021338,431901,383405,Sheffield District,271
E01007933,370021339,431895,383368,Sheffield District,271
E01007933,370027595,432113,383095,Sheffield District,218
E01007667,370030925,445708,385902,Rotherham District,27
E01007667,370030926,445616,385750,Rotherham District,27
E01007667,370030927,445629,385721,Rotherham District,27
E01007667,370030928,445780,385542,Rotherham District,27
E01007667,370030945,445308,386092,Rotherham District,27
E01007667,370030946,445358,386288,Rotherham District,27
E01007667,370035105,445285,386066,Rotherham District,27
E01007667,370035917,445582,386053,Rotherham District,27
E01007732,370030539,440471,395199,Rotherham District,nan
E01007732,370030540,440483,395492,Rotherham District,nan
E01007732,370030541,440648,395651,Rotherham District,nan
E01007732,370030847,440696,395658,Rotherham District,nan
E01007732,370030857,440452,394954,Rotherham District,139
E01007732,370031127,440609,395475,Rotherham District,139
E01007732,370031129,440583,395298,Rotherham District,139
E01007732,370031243,440229,395007,Rotherham District,nan
E01007732,370035251,440443,394940,Rotherham District,140
E01007732,370035252,440657,395152,Rotherham District,139
E01007732,370035253,440498,395532,Rotherham District,nan
E01007732,370035266,440459,395208,Rotherham District,nan
E01007732,370035273,440973,395634,Rotherham District,140
E01007732,370035274,440263,395000,Rotherham District,nan
E01007732,370036040,440860,395641,Rotherham District,140
E01007811,370030308,445351,390768,Rotherham District,26
E01007811,370030309,445325,390784,Rotherham District,26
E01007811,370030861,445055,390818,Rotherham District,19
E01007811,370031022,445175,390881,Rotherham District,19
E01007811,370031244,445232,390387,Rotherham District,26
E01007811,370035016,446201,391659,Rotherham District,19
E01007811,370035493,445155,390261,Rotherham District,26
E01007995,370021429,433186,389598,Sheffield District,81
E01007995,370021431,433070,389816,Sheffield District,52a
E01007995,370023754,433182,389702,Sheffield District,18
E01007504,370040844,454513,408966,Doncaster District,499
E01007504,370045003,454282,407698,Doncaster District,499
E01007504,370045004,454299,407684,Doncaster District,499
E01007504,370045005,454420,407344,Doncaster District,nan
E01007504,370045096,454188,408036,Doncaster District,499
E01007504,370045099,454718,409256,Doncaster District,499
E01007504,370045536,454259,408646,Doncaster District,499
E01007504,370045537,454137,408385,Doncaster District,499
E01007504,370046493,454152,407699,Doncaster District,nan
E01007504,370046494,453883,407400,Doncaster District,nan
E01007618,370040911,455298,402878,Doncaster District,441
E01007618,370041102,455150,402749,Doncaster District,441
E01007618,370045163,455372,403001,Doncaster District,441
E01007936,370020619,432770,385370,Sheffield District,83
E01007936,370020620,432791,385368,Sheffield District,83
E01007936,370020621,432833,385415,Sheffield District,271
E01007936,370020623,432815,385144,Sheffield District,271
E01007936,370020625,432818,385015,Sheffield District,271
E01008158,370020708,430759,387623,Sheffield District,762
E01008158,370020709,430749,387635,Sheffield District,762
E01008158,370020710,430228,387552,Sheffield District,762
E01008158,370020711,430269,387561,Sheffield District,762
E01008158,370020712,430133,387581,Sheffield District,762
E01008158,370020713,430026,387510,Sheffield District,762
E01008158,370020735,431047,387788,Sheffield District,762
E01008158,370020736,431099,387808,Sheffield District,762
E01008158,370021866,431600,388452,Sheffield District,81
E01008158,370021877,431213,388157,Sheffield District,82
E01008158,370021878,431158,388137,Sheffield District,82
E01008158,370021879,431282,388184,Sheffield District,82
E01008158,370021880,431379,388393,Sheffield District,82
E01008158,370021882,431364,388480,Sheffield District,81
E01008158,370021885,431298,388247,Sheffield District,82
E01008158,370021886,431378,388439,Sheffield District,82
E01008158,370022709,429571,387420,Sheffield District,762
E01008158,370022710,429605,387396,Sheffield District,762
E01008158,370022711,429166,387337,Sheffield District,762
E01008158,370023242,428904,387142,Sheffield District,762
E01008158,370023243,428925,387106,Sheffield District,257
E01008158,370023250,428937,387127,Sheffield District,257
E01008158,370023576,431090,388305,Sheffield District,82
E01008158,370023667,428564,386928,Sheffield District,257
E01008158,370023668,428675,386964,Sheffield District,257
E01008158,370023678,431066,388184,Sheffield District,82
E01008158,370023679,431011,388194,Sheffield District,82
E01008104,370023462,434284,386282,Sheffield District,272
E01008104,370023463,434007,386111,Sheffield District,272
E01008104,370023464,434081,386171,Sheffield District,272
E01007807,370030244,440491,394248,Rotherham District,nan
E01007807,370030606,439765,394004,Rotherham District,635
E01007807,370030609,439339,394315,Rotherham District,635
E01007807,370030858,440251,394335,Rotherham District,138
E01007807,370030859,440291,394309,Rotherham District,138
E01007807,370030885,439537,394163,Rotherham District,635
E01007807,370035275,440476,394250,Rotherham District,nan
E01007807,370035742,440452,394128,Rotherham District,138
E01008100,370022645,436812,384912,Sheffield District,41
E01008100,370022646,436834,384952,Sheffield District,41
E01008100,370022647,436655,384842,Sheffield District,41
E01008100,370023199,436758,385325,Sheffield District,nan
E01008100,370023200,436744,385307,Sheffield District,nan
E01007721,370030597,446028,394464,Rotherham District,116
E01007721,370030598,446438,394601,Rotherham District,116
E01007721,370030604,446017,394533,Rotherham District,X78
E01007721,370035028,445715,394323,Rotherham District,116
E01007721,370035034,445374,394174,Rotherham District,116
E01007721,370035256,445497,394249,Rotherham District,116
E01007721,370035258,446221,394121,Rotherham District,117
